,Marketed Channel (CCM Website),Marketed Channel (Social Media),Marketed Channel (Community Event),Marketed Channel (Family member or friend),Marketed Channel (Current CCM student),Marketed Channel (CCM alumni),Marketed Channel (High School Teacher),Marketed Channel (High School Counselor),Marketed Channel (In-app advertisement),How You Heard (Employer),How You Heard (Billboard),How You Heard (Television),How You Heard (Radio),How You Heard (Home Mailer),How You Heard (Other),Impact (Affordable Cost),Impact (Location/Convenience),Impact (Choice of Programs),Impact (Online Offerings),Impact (Family/Friend Referral),Impact (Faculty/Staff),Impact (College Reputation),Impact (Financial Aid),Impact (Scholarships),Impact (Small Class Sizes),Impact (Extra-curricular Opportunities),Impact (Accepted Transfer Credits),Impact (Negative Experience at Another College),Impact (NJ Stars Program),Impact (Transfer CCM Credits),Impact (College Credit in High School),What degree program are you currently enrolled in?,Motivation (To Get a Job in Computing Field),Motivation (Transfer to Bachelor's Level Program),Motivation (Transfer Credits Back to HS Degree),Motivation (Career Advancement),Motivation (Career Change),Motivation (Professional Development),Motivation (Job Displacement),Motivation (Relocation),Motivation (Keep Current in Tech Industry),Motivation (IT Industry Certifications),Motivation (Financial),Motivation (Personal Enrichment),Major,Scale,Please explain your answer to the question above.  Why or why not would you be interested in taking another computing class?,Gender,Race/ethnicity,Age 
331,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Some Impact,No Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Information Security Certificate of Achievement,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Computer Science,,,Man,White,18 and younger
332,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,,,,,,,High Impact,ShareTime CSIP Program,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Computer Science,,,Woman,Unknown,18 and younger
333,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,Some Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,ShareTime CSIP Program,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Engineering,,,Man,White,18 and younger
334,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,Some Impact,High Impact,No Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,ShareTime CSIP Program,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Computer Science,,,Man,Multi-Racial,18 and younger
335,No,No,Don't recall,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,ShareTime CSIP Program,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Computer Science,,,Man,White,18 and younger
336,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,ELECTRONICS ENGINEERING TECHNOLOGY,,,,,,,,,,,,,,5.0,I LOVE COMPUTERS AND HAVE BEEN APT AT THEM AT A VERY YOUNG AGE ITS WHAT I WANT TO DO FOR THE RE3ST OF MY LIFE,Man,White,25-34
337,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,ELECTRONICS ENGINEERING TECH,,,,,,,,,,,,,,5.0,THEY ARE VERY INTERESTING AND I WOULD LOVE TO LEARN MORE. ITS THE FIELD THAT KEEPS ON FGROWING,Man,White,25-34
338,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Business,,,Man,Hispanic,21-24
339,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,,,Some Impact,,,,,,,,,,,,High Impact,High Impact,Data Analytics Certificate of Achievement,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Computer Science,,,Man,Asian,18 and younger
340,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,High Impact,Non Degree seeking,,,,,,,,,,,,,,4.0,I am seeking a degree in computer science and am currently taking both an introductory java and python course.,Man,Asian,18 and younger
341,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,High Impact,High Impact,Non Degree seeking,,,,,,,,,,,,,,5.0,I want to pursue computer science in college so I'm very interested in taking another computing class.,Woman,Asian,18 and younger
342,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,computer science and digital media technology,,,,,,,,,,,,,,5.0,i love to learn more about programming and coding,Man,Hispanic,35-64
343,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,High Impact,No Impact,Information Technology,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Computer Science,,,Woman,Hispanic,18 and younger
344,Don't recall,No,No,No,Don't recall,No,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,,,,,,,,,,,,High Impact,High Impact,Non Degree seeking,,,,,,,,,,,,,,5.0,I would be interested because I enjoy computing alot!,Woman,Asian,18 and younger
345,Don't recall,Don't recall,No,Don't recall,Don't recall,Don't recall,Yes,Yes,No,No,No,No,No,Don't recall,Yes,High Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,,,,High Impact,High Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Math & Science,,,Man,Multi-Racial,18 and younger
346,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Information Technology,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Computer Science,,,Man,White,25-34
