,Marketed Channel (CCM Website),Marketed Channel (Social Media),Marketed Channel (Community Event),Marketed Channel (Family member or friend),Marketed Channel (Current CCM student),Marketed Channel (CCM alumni),Marketed Channel (High School Teacher),Marketed Channel (High School Counselor),Marketed Channel (In-app advertisement),How You Heard (Employer),How You Heard (Billboard),How You Heard (Television),How You Heard (Radio),How You Heard (Home Mailer),How You Heard (Other),Impact (Affordable Cost),Impact (Location/Convenience),Impact (Choice of Programs),Impact (Online Offerings),Impact (Family/Friend Referral),Impact (Faculty/Staff),Impact (College Reputation),Impact (Financial Aid),Impact (Scholarships),Impact (Small Class Sizes),Impact (Extra-curricular Opportunities),Impact (Accepted Transfer Credits),Impact (Negative Experience at Another College),Impact (NJ Stars Program),Impact (Transfer CCM Credits),Impact (College Credit in High School),What degree program are you currently enrolled in?,Motivation (To Get a Job in Computing Field),Motivation (Transfer to Bachelor's Level Program),Motivation (Transfer Credits Back to HS Degree),Motivation (Career Advancement),Motivation (Career Change),Motivation (Professional Development),Motivation (Job Displacement),Motivation (Relocation),Motivation (Keep Current in Tech Industry),Motivation (IT Industry Certifications),Motivation (Financial),Motivation (Personal Enrichment),Major,Scale,Please explain your answer to the question above.  Why or why not would you be interested in taking another computing class?,Gender,Race/ethnicity,Age 
0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,,,,High Impact,,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Computer Science,,,Man,White,19-20
1,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Computer Science,,,Man,White,25-34
2,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,Liberal Arts,,,,,,,,,,,,,,1.0,Im really only taking this class for the requirement. im not super interested or even very good with this kind of stuff,Woman,White,19-20
3,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Computer Science,,,Man,Asian,18 and younger
4,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,,,High Impact,No Impact,Some Impact,Some Impact,,No Impact,,Information Technology,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Computer Science,,,Man,White,25-34
5,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,,,,High Impact,,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Computer Science,,,Man,White,19-20
6,No,No,No,Yes,Yes,Yes,Don't recall,Don't recall,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,Some Impact,High Impact,,High Impact,,,High Impact,,,,,High Impact,,Information Technology,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Business,,,Man,White,19-20
7,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Academy Student,,,,,,,,,,,,,,4.0,To further my knowledge of computing.,Prefer not to say,Unknown,18 and younger
8,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Computer Science,,,Man,Asian,19-20
9,Yes,No,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,,,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Computer Science,,,Man,White,18 and younger
10,Don't recall,Don't recall,Don't recall,Yes,Yes,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,Some Impact,No Impact,Computer Science,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Computer Science,,,Man,White,18 and younger
11,Yes,Don't recall,Yes,Yes,Yes,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,Business Administration ,,,,,,,,,,,,,,1.0,Computer Science isn't really for me but it helps me with Business. ,Woman,Multi-Racial,18 and younger
12,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,High Impact,No Impact,Liberal arts,,,,,,,,,,,,,,2.0,I'm taking this course because I need it to graduate ,Man,White,21-24
13,No,No,No,Yes,Yes,Don't recall,Yes,Yes,No,No,No,No,No,No,No,High Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,,No Impact,High Impact,I am still a senior in high school (Morris County School of Technology) and my school offers a program that allows you to attend a CCM class or classes,,,,,,,,,,,,,,2.0,"I am more interested in doing law in the long run, I would like to practice as a lawyer one day. The program my high school offered did not allow me to do any law classes here, so I thought computer science was something interesting I could do that was available. While it certainly is interesting as I do it now, I still wanna do law in the long run.",I do not identify,White,18 and younger
14,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Music Recording ,,,,,,,,,,,,,,5.0,To further my studies in Computer Science and to lead to a positive career path.,Man,White,19-20
15,No,No,Don't recall,Yes,Yes,Yes,Don't recall,Don't recall,No,Yes,Yes,No,Don't recall,No,Don't recall,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,,Some Impact,High Impact,High Impact,,High Impact,High Impact,,Information Technology,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Nursing,,,Man,Hispanic,25-34
16,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,High Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Soicial Science,,,Man,White,19-20
17,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,,Man,Asian,19-20
18,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,,,,High Impact,,Computer Science,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Science,,,Man,Hispanic,19-20
19,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Computer Science,,,Man,Asian,18 and younger
20,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Bio ,,,,,,,,,,,,,,3.0,"I'm a bio major and in the field I want to go into computing is not required at all. except, if I wanted to make my own code for a machine or task.",Man,Hispanic,19-20
21,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,High Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Computer Science,,,Man,White,21-24
22,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Computer Science,,,Man,Hispanic,19-20
23,Yes,Don't recall,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Computer Science,,,Man,Asian,18 and younger
24,Don't recall,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,,High Impact,Some Impact,Liberal Arts,,,,,,,,,,,,,,2.0,Computing seems interesting but then I don't know if I will presume learning it after this class. ,Man,Hispanic,21-24
25,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Mechanical engineering technology,,,,,,,,,,,,,,3.0,"I am interested in learning more about programming, however some parts do not seem important to me",Man,White,18 and younger
26,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Mathematics,,,,,,,,,,,,,,3.0,"I'd think about taking another computer class, because it's relatively related to my interests. But I am really pursuing courses in pure mathematics.",Man,White,21-24
27,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,,,,High Impact,,Mechanical Engineering,,,,,,,,,,,,,,2.0,"I personally don't like it because it is very similar to learning a new language, I was placed in the class for my current major Mechanical Engineering.",Man,Multi-Racial,19-20
28,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Electronics Engineering,,,,,,,,,,,,,,4.0,I like the classes and I need the credits for my degree.,Prefer not to say,Unknown,18 and younger
29,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Mechanical Engineering ,,,,,,,,,,,,,,3.0,Technology is always growing and all the things we learn in class will be very useful in the future.,Man,White,25-34
30,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,High Impact,,Some Impact,Some Impact,Some Impact,Some Impact,,,High Impact,,CIS Game Development Option,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Computer Science,,,Man,White,18 and younger
31,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No Impact,High Impact,High Impact,,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Information Technology,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Computer Science,,,Man,White,19-20
32,Don't recall,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Finance/Business ,,,,,,,,,,,,,,5.0,.,I do not identify,Asian,65+
33,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,High Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Computer Science,,,Woman,Hispanic,18 and younger
34,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,,,,High Impact,,Computer Science,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Computer Science,,,Woman,Asian,18 and younger
35,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Information Technology,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Computer Science,,,Man,White,19-20
36,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No Impact,High Impact,High Impact,No Impact,No Impact,,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Computer Science,,,Man,White,25-34
37,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Some Impact,High Impact,No Impact,High Impact,,No Impact,,Some Impact,High Impact,No Impact,Some Impact,Some Impact,,Some Impact,High Impact,No Impact,Challenger Program,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Business,,,Woman,Native American,19-20
38,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,,Man,Asian,18 and younger
39,No,No,No,Yes,Don't recall,Don't recall,Yes,Don't recall,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,,High Impact,,,No Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Information Technology,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,IT,,,Man,Hispanic,21-24
40,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,High Impact,No Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Non Degree seeking,,,,,,,,,,,,,,5.0,"My personal interest in acquiring more SKILLS in the STEM field motivates me, certificate programs and classes I can use to strengthen my acquiring of certifications is what motivates me. Its a great thing to have on the job market nowadays. 

I would not be interested in taking computing classes that require me to be in person due to personal transportation issues",Man,Hispanic,21-24
41,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Computer Science,,,Man,White,18 and younger
42,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,High Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,,Man,Asian,19-20
43,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Computer Science,,,Woman,Hispanic,18 and younger
44,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Don't recall,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,High Impact,,,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Business,,,Man,White,19-20
45,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Computer Science,,,Man,Hispanic,19-20
46,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Don't recall,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,,High Impact,Some Impact,,,,High Impact,,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Computer Science,,,Woman,Hispanic,19-20
47,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,High Impact,High Impact,High Impact,Computer Science,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Computer Science,,,Man,Asian,18 and younger
48,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,High Impact,High Impact,High Impact,CIS Game Development Option,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Computer Science,,,Woman,Multi-Racial,19-20
49,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Don't recall,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,,,No Impact,High Impact,,"Technical Studies, Applied Associate of Science",No,No,No,Yes,No,No,No,No,No,No,No,No,Engineering,,,Man,White,19-20
50,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Radiography,,,Man,Hispanic,19-20
51,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Some Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Computer Science,,,Man,White,18 and younger
52,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,Changed to Business ,,,,,,,,,,,,,,3.0,I am somewhat on the fence because i do want to learn more but sometimes it gets confusing ,Man,Hispanic,18 and younger
53,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,CIS Game Development Option,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,History,,,Man,Multi-Racial,21-24
54,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Computer Science,,,Man,Unknown,19-20
55,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Mechanical Engineering Technology,,,,,,,,,,,,,,1.0,"I am in Mechanical, not electronic",Man,White,19-20
56,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Business,,,Man,Hispanic,21-24
57,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,,Man,White,19-20
58,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,Some Impact,Mechanical Engineering,,,,,,,,,,,,,,4.0,I would like to learn about computing,Man,Hispanic,19-20
59,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,,,,High Impact,,Computer Science,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Business,,,Man,White,19-20
60,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Don't recall,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,CIS Game Development Option,No,No,No,No,No,No,No,No,No,No,No,Yes,Computer Science,,,Man,Multi-Racial,18 and younger
61,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,CIS Game Development Option,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Computer Science,,,Man,White,21-24
62,No,No,No,Yes,No,Yes,Don't recall,Don't recall,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,,,Some Impact,Some Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Computer Science,,,Man,Multi-Racial,21-24
63,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Mechanical Engineering,,,,,,,,,,,,,,4.0,I would like to learn about computing,Man,Hispanic,19-20
64,Yes,Don't recall,No,Don't recall,Yes,No,Yes,Don't recall,No,No,Don't recall,Yes,Don't recall,No,Yes,,No Impact,Some Impact,,High Impact,No Impact,Some Impact,,Some Impact,High Impact,No Impact,,Some Impact,High Impact,No Impact,Some Impact,Computer Science,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Science,,,Woman,Multi-Racial,18 and younger
65,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,High Impact,High Impact,Some Impact,High Impact,Some Impact,No Impact,Some Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,CIS Game Development Option,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Soicial Science,,,Man,White,18 and younger
66,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Information Technology,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Computer Science,,,Prefer not to say,White,19-20
67,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,mechanical engineering technology,,,,,,,,,,,,,,4.0,moderately interested because it depends on what i need to learn in the future when looking for a programming job.,Man,White,18 and younger
68,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,High Impact,High Impact,edam,,,,,,,,,,,,,,3.0,im not great at it,Woman,Multi-Racial,18 and younger
69,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Don't recall,Don't recall,,,High Impact,,,,,,,,,,,,,,Challenger Program,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Engineering,,,Man,Unknown,18 and younger
70,No,No,No,Yes,No,Don't recall,No,No,No,No,No,No,No,No,Don't recall,,,,,High Impact,,,,,,,,,,,,CIS Game Development Option,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Computer Science,,,Prefer not to say,White,18 and younger
71,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,,,High Impact,,,,,,,,,,,,,High Impact,Share Time Engineering,,,,,,,,,,,,,,4.0,I like how with computing classes there is a right and wrong answer but still room to be creative. ,Woman,White,18 and younger
